기간	자치구	주택매매가격지수	주택매매가격지수
기간	자치구	종합	아파트
2019	서울시	94.8	93.8
2019	종로구	96.6	96.5
2019	중구	96	96.1
2019	용산구	95.4	95.5
2019	성동구	94.9	94.9
2019	광진구	95.2	95.1
2019	동대문구	94.2	93.5
2019	중랑구	94.8	94.5
2019	성북구	94.9	94.4
2019	강북구	94.4	92.8
2019	도봉구	93.3	92
2019	노원구	90.9	90
2019	은평구	95.5	94.5
2019	서대문구	96	95.6
2019	마포구	94.1	93.2
2019	양천구	94.9	93.3
2019	강서구	95.7	94.4
2019	구로구	94.8	93.3
2019	금천구	95.9	94.6
2019	영등포구	94.5	93.8
2019	동작구	94.7	93.7
2019	관악구	95	92.2
2019	서초구	95.2	95.4
2019	강남구	95.8	95.7
2019	송파구	95.1	93.9
2019	강동구	94.7	94.1
2020	서울시	97.3	96.6
2020	종로구	98.7	99
2020	중구	98.2	98.1
2020	용산구	98	97.8
2020	성동구	97.8	97.7
2020	광진구	97.8	97.4
2020	동대문구	97.6	97.4
2020	중랑구	97.8	97.8
2020	성북구	97.9	97.5
2020	강북구	97.7	97.5
2020	도봉구	96.2	95.9
2020	노원구	95.2	94.7
2020	은평구	97.9	97.5
2020	서대문구	98.4	98.3
2020	마포구	97.3	96.4
2020	양천구	97.5	96.7
2020	강서구	98.1	97.7
2020	구로구	98.2	97.8
2020	금천구	98.3	97.9
2020	영등포구	97.5	97.1
2020	동작구	96.9	96.3
2020	관악구	97.8	96.5
2020	서초구	96	95.5
2020	강남구	96.3	95.8
2020	송파구	96.5	95.3
2020	강동구	96.9	96.5
2021	서울시	103.6	104.4
2021	종로구	102.8	103.7
2021	중구	102.7	103.5
2021	용산구	103.9	105.5
2021	성동구	102.1	102.2
2021	광진구	101.9	102
2021	동대문구	102.6	102.5
2021	중랑구	103	103.6
2021	성북구	103.3	104.2
2021	강북구	102.3	102.3
2021	도봉구	104.3	104.3
2021	노원구	105.5	105.9
2021	은평구	103.6	104.3
2021	서대문구	102.5	103.4
2021	마포구	103.4	104.8
2021	양천구	102.8	102.6
2021	강서구	103.2	105
2021	구로구	103.1	104.1
2021	금천구	102.6	103.2
2021	영등포구	103	103.6
2021	동작구	103.8	104.8
2021	관악구	102.7	103.4
2021	서초구	105.2	105.7
2021	강남구	105.1	105.8
2021	송파구	105.2	105.6
2021	강동구	103.8	104.4
