기간	자치구	주택전세가격지수	주택전세가격지수
기간	자치구	종합	아파트
2019	서울시	94.5	92
2019	종로구	97.5	96.4
2019	중구	97.2	96.2
2019	용산구	95.6	92.8
2019	성동구	94	92.9
2019	광진구	95.9	94.7
2019	동대문구	95.7	94.9
2019	중랑구	96.3	95.2
2019	성북구	94.5	91.8
2019	강북구	94.9	92.5
2019	도봉구	96.4	95.4
2019	노원구	92.9	92.1
2019	은평구	94.8	93.3
2019	서대문구	97.2	95.3
2019	마포구	94.3	91
2019	양천구	96.2	94.8
2019	강서구	95.9	94
2019	구로구	95.2	93.3
2019	금천구	96.9	95
2019	영등포구	96.1	95.1
2019	동작구	93.6	89.1
2019	관악구	96	91.5
2019	서초구	89.5	86.9
2019	강남구	91.4	88.6
2019	송파구	91.9	88.2
2019	강동구	92.7	89.7
2020	서울시	97.9	97.2
2020	종로구	99.2	99.1
2020	중구	99.1	99
2020	용산구	98.2	97.3
2020	성동구	98	97.6
2020	광진구	98.3	98
2020	동대문구	98.3	98.4
2020	중랑구	98.4	97.9
2020	성북구	97.5	96.3
2020	강북구	97.8	97.5
2020	도봉구	98.7	98.5
2020	노원구	96.1	95.7
2020	은평구	97.5	96.9
2020	서대문구	98.9	98.3
2020	마포구	98.5	97.8
2020	양천구	98.9	98.8
2020	강서구	98.6	98.2
2020	구로구	98	97.5
2020	금천구	99	99
2020	영등포구	98.6	98.4
2020	동작구	97.4	95.9
2020	관악구	98.4	96.5
2020	서초구	95.6	94.4
2020	강남구	97.8	97.1
2020	송파구	97.5	96.3
2020	강동구	97.6	97
2021	서울시	102.7	103.5
2021	종로구	102.4	103.4
2021	중구	102.5	103.5
2021	용산구	102.3	103.9
2021	성동구	102	102.6
2021	광진구	102	102.8
2021	동대문구	102.4	102.8
2021	중랑구	101.9	102.1
2021	성북구	102.5	103.2
2021	강북구	102	102.9
2021	도봉구	102.9	103.2
2021	노원구	103.7	104
2021	은평구	102.8	103.5
2021	서대문구	102.3	103
2021	마포구	102.3	103.7
2021	양천구	103.2	104.4
2021	강서구	101.9	103
2021	구로구	102.4	103.3
2021	금천구	101.8	102.6
2021	영등포구	103.1	104
2021	동작구	103.2	104.3
2021	관악구	101.5	102.5
2021	서초구	103.6	104
2021	강남구	103.4	103.8
2021	송파구	103.8	103.6
2021	강동구	103.6	103.8
